id,area_id,index
100101001,100101,1
100101404,100101,404
100101501,100101,501
100101502,100101,502
100101503,100101,503
100101504,100101,504
100101505,100101,505
100101601,100101,601
100101602,100101,602
100101603,100101,603
100101604,100101,604
100101605,100101,605
100101403,100101,403
100101606,100101,606
100101608,100101,608
100101703,100101,707
100101801,100101,801
100101802,100101,802
100101805,100101,805
100101806,100101,806
100101910,100101,910
100101949,100101,949
910010102,100101,2
910010105,100101,5
910010104,100101,4
100101607,100101,607
100101402,100101,402
910010101,100101,1
100101218,100101,218
100101004,100101,4
100101401,100101,401
100101003,100101,3
100101005,100101,5
100101006,100101,6
100101007,100101,7
100101101,100101,101
100101102,100101,102
100101201,100101,201
100101202,100101,202
100101203,100101,203
100101204,100101,204
100101002,100101,2
100101206,100101,206
100101205,100101,205
100101215,100101,215
100101217,100101,217
100101214,100101,214
100101213,100101,213
100101216,100101,216
100101211,100101,211
100101210,100101,210
100101209,100101,209
100101208,100101,208
100101207,100101,207
100101212,100101,212
100201611,100201,611
100201702,100201,707
100201703,100201,708
100201704,100201,709
100201705,100201,710
100201804,100201,804
100201805,100201,805
100201910,100201,910
100201808,100201,808
100201940,100201,940
100201609,100201,609
910020104,100201,4
910020103,100201,3
910020102,100201,2
910020101,100201,1
100201807,100201,807
100201608,100201,608
100201610,100201,610
100201606,100201,606
100201203,100201,203
100201204,100201,204
100201205,100201,205
100201607,100201,607
100201206,100201,206
100201207,100201,207
100201401,100201,401
100201202,100201,202
100201403,100201,403
100201402,100201,402
100201405,100201,405
100201501,100201,501
100201503,100201,503
100201601,100201,601
100201602,100201,602
100201603,100201,603
100201604,100201,604
100201605,100201,605
100201404,100201,404
100201201,100201,201
100202805,100202,805
100202806,100202,806
100202807,100202,807
100202808,100202,808
100202802,100202,802
910020213,100202,13
910020201,100202,1
910020202,100202,2
910020203,100202,3
910020211,100202,11
100202707,100202,707
100202809,100202,809
100202706,100202,706
100202402,100202,402
100202704,100202,704
100202001,100202,1
100202101,100202,101
100202102,100202,102
100202705,100202,705
100202401,100202,401
100202501,100202,501
100202503,100202,503
100202601,100202,601
100202602,100202,602
100202201,100202,201
100202604,100202,604
100202605,100202,605
100202606,100202,606
100202607,100202,607
100202608,100202,608
100202603,100202,603
